"ELEMENTS OF WORKSHOP TECHNOLOGY VOLUME-II : MACHINETOOLS","BOOK","THIRTEENTH ","81-85099-15-4","MEDIA PROMAOTERS PUB.",2011,,,,"ENGLISH","MUMBAI",,,,,"S.K.HAJRA CHOUDHURY&S.K.BOSE&A.K.HAJRA CHOUDHURY&NIRJHAR ROY ","MECHANICAL",3803,"S.Y. TEXT BOOK (III)",27,240,,"XVI+712+A-4+I-11"
"DATABASE SYSTEM CONCEPTS","BOOK","SIXTH","978-007-132522-6","TATA McGRAW-HILL PUB.",2011,,,,"ENGLISH","NEW YORK",,,,,"ABRAHAM SILBERSCHATZ&HENRY F. KORTH.&S.SUDARSHAN","I.T.",3830,"S.Y. TEXT BOOK (III)",27,615,"WWW.TATAMCGAWHILL.C0M","XXVI+1349"
"PROGRAMMING AND DATA STRUCTURES","BOOK","SECOND IMPRESSION","978-81-317-2422-4","PEARSON",2009,,,,"ENGLISH","NEW DELHI",,,,,"ASHOK N. KAMTHANE","I.T.",3857,"S.Y.REFERANCE(III)",3,299,"www.pearsoned.co.in","XII+588"
"ENGINEERING GRAPHICS WITH AUTO CAD 2009","BOOK","EASTERN ECONOMY ED.","978-81-203-3837-1","         PHI  LEARNING (P.LTD )",2009,,,,"ENGLISH","NEW DELHI",,,,,"JAMES D. BETHUNE","MECHANICAL",3860,"S.Y.REFERANCE(III)",26,625,"www.phindia.com","XII+737"
"STRENGTH OF MATERIALS","BOOK","SEVENTEENTH ","81-87433-54-X","DHANPAT RAI & CO.",2011,,,,"ENGLISH","NEW DELHI",,,,,"S.RAMAMRUTHAN & R. NARAYANAN","CIVIL",3886,"S.Y.REFERANCE(III)",2,570,"mail@dhanpatrai.in","VI+1279"
"TOWN PLANNING","BOOK","TWENTYFOURTH ED.","978-93-80358-22-2","CHAROTAR PUB.HOUSE P.LTD",2011,,,,"ENGLISH","ANAND",,,,,"S.C.RANWALA&K.S.RANGWALA","CIVIL",3888,"S.Y.REFERANCE(III)",30,85,"e-mail:charotar@cphbooks.com","XV+327"
"BUILDING CONSTRUCTION","BOOK","TWENTYNINETH ED.","978-93-80358-30-7","CHAROTAR PUB.HOUSE P.LTD",2010,,,,"ENGLISH","ANAND",,,,,"S.C.RANWALA&K.S.RANGWALA&P.S.RANGWALA","CIVIL",3918,"S.Y.REFERANCE(III)",10,210,"e-mail:charotar@cphbooks.com","XVI+752"
"MECHANICS OF STRUCTURES VOL.I :STRENGTH OF MATERIALS ","BOOK","TWENTYNINETH ED.","978-93-80358-29-1","CHAROTAR PUB.HOUSE P.LTD",2011,,,,"ENGLISH","ANAND",,,,,"DR.H.J.SHAH & S.B.JUNNARKAR","CIVIL",3928,"S.Y.REFERANCE(III)",10,300,"e-mail:charotar@cphbooks.com","XX+987+5"
"MACHINE DRAWING","BOOK","FOURTYFIFTH ED.","978-93-80358-11-6","CHAROTAR PUB.HOUSE P.LTD",2010,,,,"ENGLISH","ANAND",,,,,"N.D.BHATT & V.M. PANCHAL","MECHANICAL",3938,"S.Y.REFERANCE(III)",10,110,"e-mail:charotar@cphbooks.com","XVI+350"
"MECHANICS OF STRUCTURES VOL-II : THEORY AND ANALYSIS OF STRUCTURES","BOOK","TWENTYNINETH ED.","978-93-80358-16-1","CHAROTAR PUB.HOUSE P.LTD",2010,,,,"ENGLISH","ANAND",,,,," S.B.JUNNARKARDR & H.J.SHAH","CIVIL",3948,"S.Y.REFERANCE(III)",10,225,"e-mail:charotar@cphbooks.com","XVI+970"
"CALCULUS: MULTI-VARIABLE CALCULUS AND LINEAR ALGEBRA,WITH APPLICATIONS TO DIFFERENTIAL EQUATIONS AND PROBABILITY VOLUME-II ","BOOK","SECOND","978-81-265-1520-2","WILEY INDIA PVT. LTD ",2009,,,,"ENGLISH","NEW DELHI",,,,,"TOM M. APOSTOL","MATHEMATICS",3958,"S.Y.REFERANCE(III)",2,449,"www. Wileyindia.com","XXI+673"
"BASIC STRUCTURAL ANALYSIS ","BOOK","THIRD","978-0-07-070276-9","TATA McGRAW-HILL PUB.",2011,,,,"ENGLISH","NEW DELHI",,,,,"C.S.REDDY","CIVIL",3960,"S.Y.REFERANCE(III)",5,395,"WWW.TATAMCGAWHILL.C0M","XIX+841"
"MATERIALS AND METALLURGY(IN S.I. UNITS)","BOOK","SIXTH",,"KHANNA PUBLISHERS",2011,,,,"ENGLISH","NEW DELHI",,,,,"V.K.MANCHANDA&G.B.S. NARANG&G.R.NAGPAL","MECHANICAL",3965,"S.Y.REFERANCE(III)",30,135,"E-mail:khannapublishers@yahoo.in","XIII+466"
"PRODUCTION TECHNOLOgy:MANUFACTURING PROCESSES,TECHNOLOGY AND AUTOMATION","BOOK","SEVENTEENTH ",,"KHANNA PUBLISHERS",2011,,,,"ENGLISH","NEW DELHI",,,,,"R.K.JAIN","MECHANICAL",3995,"S.Y.REFERANCE(III)",27,450,"E-mail:khannapublishers@yahoo.in","XI+1090"
"ATEXTBOOK OF MATERIAL SCIENCE AND METALLURGY","BOOK",,"978-81-89928-31-5","DHANPAT RAI & CO.",2011,,,,"ENGLISH","NEW DELHI",,,,,"O.P.KHANNA","MECHANICAL",4022,"S.Y.REFERANCE(III)",10,315,"E-MAILishkapur@vsnl.com","XXXIII+1.2 TO 57.34+A.4"
"A TEXTBOOK OF ELECTRICALTECHNOLOGY (IN S.I.UNITS)VOLUME-II","BOOK",,"81-219-2437-5","S.CHAND ","2011-12",,,,"ENGLISH","NEW DELHI",,,,,"B.L.THERAJA & A.K. THERAJA","ELECTRICAL",4032,"S.Y.REFERANCE(III)",30,425,"www.schandgroup.com","865 TO 1568 +IV"
"ENGINEERING MECHANICS ","BOOK","NINTH","81-87433-51-5","DHANPAT RAI & CO.",2010,,,,"ENGLISH","NEW DELHI",,,,,"S.RAMAMRUTHAM & R.NARAYANAN","MECHANICAL",4062,"S.Y.REFERANCE(III)",3,340,"web site:www.dhanpatrai.in mail@dhanpatrai.in",891
"STRENGTH OF MATERIALS","BOOK","SEVENTEENTH ","81-87433-54-X","DHANPAT RAI & CO.",2011,,,,"ENGLISH","NEW DELHI",,,,,"S.RAMAMRUTHAN & R. NARAYANAN","CIVIL",4065,"S.Y.REFERANCE(III)",1,570,"mail@dhanpatrai.in","VI+1279"
"PARLAMENT STREET","BOOK",,"978-81-8440-542-2","NAVBHARAT SAHITYA MANDIR",2011,,,,"GUJARATI","AHMEDABAD",,,,,"DEVENDRA PATEL","POLITIC",4066,,1,250,"E-mail:info@navbharatonline.com   web:www.navbharatonline.com","8+196"
"MISTREEZ OF MODI :ANE RAJNITINA BIJA PATRO","BOOK",,"978-81-8440-543-9","NAVBHARAT SAHITYA MANDIR",2011,,,,"GUJARATI","AHMEDABAD",,,,,"DEVENDRA PATEL","POLITIC",4067,,1,250,"E-mail:info@navbharatonline.com   web:www.navbharatonline.com","8+186"
"HAMARE RASTIYA GEET","BOOK",,"978-81-216-1583-9","HIND POKET BOOKS",2011,,,,"HINDI","NEW DELHI",,,,,"TEJPALSINH DHAMA",,4068,,1,50,"www.hindpoketbooks.in",64
"JIVAN: EK KHEL","BOOK","32TH",,"KUSUM PRAKASHAN",2010,,,,"GUJARATI",,,,,,"KUNDNIKA KAPADIYA",,4069,,1,15,,31
"SEVA GRAM THI SODH GRAM","BOOK","FIFTH",,"MUMBAI SARVODAY MANDAL",2011,,,,"GUJARATI","MUMBAI",,,,,"DR.ABHAY BANG  /  ANUWAD:PRAKSSH C. SHAH",,4070,,1,15,"www.searchgadchiroli.org emailsearch@satyam.net.in",36
"DEL KARNEGINA VEVHARU SUTRO","BOOK","ELEVENTH",,,2010,,,,"GUJARATI",,,,,,,,4071,,1,15,,30
"ELEMENTS OF CIVIL ENGINEERING","BOOK","THIRD","978-93-80109-52-7","MAJAN PUB.HOUSE",2010,,,,"ENGLISH","AHMEDABAD",,,,,"PRO.R.B. KHASIYA & MS. RENA N. SHUKLA","CIVIL",4072,"F.Y. TEXT BOOK (I,II)",49,320,"www.mahajanbook.com","XV+1.29 TO 12.63+P-M-11"
"HIGHER ENGINEERING MATHEMATICS VOL-I","BOOK","ELEVENTH","978-93-80109-50-3","MAJAN PUB.HOUSE",2010,,,,"ENGLISH","AHMEDABAD",,,,,"DR.K.R. KACHOT","MATHEMATICS",4121,"F.Y. TEXT BOOK (I,II)",48,360,"www.mahajanbook.com","VIII+602"
"ELEMENTS OF MECHANICAL ENGINEERING (SCANNER) ","BOOK",,,"ATUL PRAKASHAN",2009,,,,"ENGLISH","AHMEDABAD",,,,,"ASHISH SONI (SCANNER)","MECHANICAL",4169,"F.Y. TEXT BOOK (I,II)",50,150,,"XII+457"
"BASICS  OF ENVIRONMENTAL STUDIES","BOOK","THIRD","978-93-80109-48-0","MAJAN PUB.HOUSE","2010-11",,,,"ENGLISH","AHMEDABAD",,,,,"B.R. SHAH & MS. SNEHAL POPLI"," ENVIRONMENTAL",4219,"F.Y. TEXT BOOK (I,II)",48,160,"www.mahajanbook.com","1.12 TO14.53 +11"
"TECHNICAL  COMMUNICATIONS   SKILLS","BOOK","SECOND ","978-93-80109-04-6","MAJAN PUB.HOUSE","2009-10",,,,"ENGLISH","AHMEDABAD",,,,,"SHREYA  M. THAKORE","COMMUNICATIONS   SKILLS",4267,"F.Y. TEXT BOOK (I,II)",48,120,"www.mahajanbook.com","X+14.53+A.13"
"ELEMENTS OF MECHANICS  OF   SOLIDS ","BOOK","THIRD","978-93-80109-64-0","MAJAN PUB.HOUSE",2010,,,,"ENGLISH","AHMEDABAD",,,,," M.   N.  PATEL  & P.V.PATEL & C.S.SANGHVI & J.S.THAKUR","CIVIL",4315,"F.Y. TEXT BOOK (I,II)",50,400,"www.mahajanbook.com","XIII+15.48 A-13"
"A COURSE IN ELECTRONIC MEASUREMENTS AND INSTRUMENTATION","BOOK","NINETEENTH REVISED ED.",,"DHANPAT RAI & CO.",2011,,,,"ENGLISH","NEW DELHI",,,,,"A.K. SAWHNEY & PUNEET SAWHNEY","ELECTRICAL",4365,"S.Y.REFERANCE(III)",10,475,"dhanpatrai@gmail.com","23+1319+xii"
"FUNDAMENTALS OF TOWN PLANNING","BOOK","SECOND REV. ED.(15TH REPRINT)",,"DHANPAT RAI  PUBLICATIONS (P)LTD",2009,,,,"ENGLISH","NEW DELHI",,,,,"G.K.HIRASKAR & K.G. HIRASKAR","CIVIL",4375,"S.Y.REFERANCE(III)",3,125,"E.mail : ishkapur@vsnl.com",147
"ELECTRICAL & ELECTRONICS MEASURING INSTRUMENTS","BOOK","SECOND REV. ED","978-81-8431-978-0","TECHNICAL PUBLICATIONS",2011,,,,"ENGLISH","PUNE(MAHARASHTRA)",,,,,"U.A. SAKSHI & A.V. BAKSHI & K.A. BAKSHI","ELECTRICAL",4378,"S.Y. TEXT BOOK (I,II)",10,295,"technical@vtubooks.com    www.vtubooks.com","1.11+2.37+3.90+4.37+5.48+6.27+7.46+8.41+9.30+S-16"
