"Three Party Authentication Key Distributed Protocols Using Implicit and Explicit Quantum Cryptography",,9765166,,,,,,"English","India",,,,,"Dr.G.Ananda Rao><Y.Srinivas, J.Vijaya Sekhar><Ch.Pavan Kumar","Computer Science",,,,,"http://www.ijcse.com/docs/IJCSE11-02-02-08.pdf",,,2,2,"3AQKDP (implicit) /3AQKDPMA (explicit)/cryptography/Quantum Cryptography",,,,,,,,,"April-May 2011",,"Cryptography is the science of information security. Applications of cryptography include ATM cards, computer passwords, and electronic commerce. The combination of Implicit quantum key distribution protocol (3AQKDP) and explicit quantum key distribution protocol (3AQKDPMA) are used to form the new combination and demonstrate the following merits: Establishment of a secure connection which can prevent attacks such as eavesdropping, man-in-the-middle and replay. Reduction in communication rounds among existing QKDPs, improves efficiency of proposed protocols. A long term secret key can be used and shared between two parties repeatedly. Classical cryptography methods currently used are unsafe and cannot detect the existence of passive attacks such as eavesdropping. Hence the combination of both classical as well as quantum cryptography is proposed.",,,,,,,,,,,,"Indian Journal of Computer Science and Engineering",,
"Monitoring Groundwater Contamination Using Surface Electrical Resistivity and Geochemical Methods ",,19453094,,,,,,"English","USA",,,,,"O. Akankpo, M. U. Igboekwe","Environmental Engineering",,,,,"http://www.scirp.org/journal/PaperInformation.aspx?paperID=4980",,,3,5,"Groundwater, Uyo Urban, Resistivity, VES, Dumpsites",,,,,,,,,"May. 2011",,"Surface electrical resistivity has been used as a tool in the detection of groundwater contamination. In this work, five geoelectric soundings with two at waste dumpsites have been carried out in Uyo, Southwestern Nigeria to map the gross layered structure of the refuse as well as the extent of groundwater contamination. The geology of the area (Benin Formation) mainly consists of fine-medium-coarse grained sands. The data of five Schlumberger Vertical Electrical Soundings (VES), with a maximum of AB/2=500 m, were analyzed using Hemkler computer program. In general, there exists a common feature in the resistivity variation pattern of high-low-high-low-high in the area. The result shows a wide range of resistivity variation ranging from 2.0 to 60700 ?m. Based on the survey results, the resistivity values less than 75 ?m shows contamination due to waste at Eka street and Udo street. Also, the high resistivity value at mechanic village (60700 ?m) may be related to the waste oil deposit due to the automobile repair activities. A comparison of the resistivity values and the curve types at the dumpsites (Eka street and Udo street) and other locations show that the two dumpsites have an H curve type indicating contaminated zones, while other locations have a K curve type indicating non contaminated zones. Hydrochemical analysis of groundwater samples collected in the area was also carried out for some physico-chemical parameters. The results produced higher concentration of conductivity, total dissolved solids and chloride values for water collected at close locations to dumpsites than those far away from the dumpsites: an evidence for a quantitative assessment of groundwater contamination.",,,,,,,,,,,,"Journal of Water Resource and Protection",,
"Hybrid Reconfigurable Petri Nets for modelling Hybrid Reconfigurable Manufacturing Systems",,17379393,,,,,,"English","Tunisia",,,,,"O. Lejri><M. Tagina","Manufactures ",,,,,"http://www.hypersciences.org/JSM/Iss.2-3-2010/JSM-1-2-3-2010.pdf",,,1,"2,3","Manufacturing systems, Hybrid systems, modelling, reconfiguration, Petri net,Hybrid Reconfigurable Petri Net.",,,,,,,,,2010,,"Manufacturing systems are a class of hybrid complex systems. In fact, their behavior is characterized by a double discrete/continuous dynamic which can make their modelling a difficult task. Moreover, this complexity can make fault appearance very often for those systems. For those reasons, the reconfiguration task is very important as it guarantees the continuity of working of those systems. This article deals with the modelling of hybrid reconfigurable manufacturing systems. A reconfigurable manufacturing system (RMS) is a system capable of adjusting his behaviour in response to a new production’s requirement or a fault appearance. We propose a Petri net’s extension ”Hybrid Reconfigurable Petri Nets” which permit the construction of flexible models able to adapt themselves to particular situations the system can reach. We translate this adaptation by the possibility of the model to be reconfigured or even better to be self-reconfigured.",,,,,,,,,,,,"Journal of Studies on Manufacturing",,
"Optimization of fatigue life computation in multiaxial fatigue",,17379318,,,,,,"English","Tunisia",,,,,"B. D. Soh Fotsing><B. Kenmeugne, G. F. Anago><M. Fogué","Mechanical Engineering",,,,,"http://www.hypersciences.org/JARME/Iss.4-2010/JARME-2-4-2010.pdf",,,1,4,"finite elements,circumscribing circle, Fogue, ",,,,,,,,,2010,,"This paper presents optimization methods for the computation of fatigue life in multiaxial fatigue. It begins with the definition of some fatigue criteria for multiaxial cyclic loading. This introduces the problem of the prevalence of random multiaxial loading in the service environment of mechanical components. Two types of fatigue criteria found in the literature are presented. A comparative analysis of these models is also presented: Robert Criterion and Fogué Criterion. The use of these fatigue models to predict the life of a component subjected to random multiaxial load is presented as well as the performance of each of these models is evaluated with test data obtained from a biaxial amplitude fatigue test. Finally, an analysis, which is aimed at reducing the computation time associated with the criteria, is presented. This analysis suggests that a valuable fatigue evaluation tool is now available to the mechanical design industry.",,,,,,,,,,,,"Journal of Advanced Research in Mechanical Engineering",,
"Hot Air Engines",,17353572,,,,,,"English","Iran",,,,,"P. Stouffs","Mechanical Engineering",,,,,"http://www.jafmonline.net/modules/journal/journal_browse.php?EJjid=12",,,4,2,"Hot air engine, Stirling engine, Ericsson engine, Joule cycle engine, External heat supply reciprocating engine",,,,,,,,,2011,,"Invented in 1816, the hot-air engines have known significant commercial success in the nineteenth century, before falling into disuse. Nowadays they enjoy a renewed interest for some specific applications. The ""hot-air engines"" family is made up of two groups: Stirling engines and Ericsson engines. The operating principle of Stirling and Ericsson engines, their troubled history, their advantages and their niche applications are briefly presented, especially in the field of micro-combined heat and power, solar energy conversion and biomass energy conversion. The design of an open cycle Ericsson engine for solar application is proposed. A first prototype of the hot part of the engine has been built and tested. Experimental results are presented.",,,,,,,,,,,,"Journal of Applied Fluid Mechanics",,
"Routing Mechanism for MANET in Disaster Area",,22299114,,,,,,"English","Malasia",,,,,"A.K. Vatsa><Prince Chauhan><Meenakshi Chauhan><Jyoti Sharma","Technology-General",,,,,"http://www.ijnmt.com/JournalPapers/Vol2No2/Vol2No2P1.pdf",,,2,2,"MANET (Mobile Ad-hoc Network), QoS (Quality of Service), Multicast Protocol, Routing, Request Reply Method, Address Allocation Scheme",,,,,,,,,"May, 2011",,"Mobile ad-hoc Network (MANET) are implemented anywhere where there is little or no communication infrastructure, or when the existing infrastructure is inconvenient to be used. The Mobile Ad-hoc networks have neither fixed topology nor centralized servers. It is assumed that once deployed the network nodes would self configure to provide connectivity and form a communication network. The communications are vital for efficient management and execution of disaster response and recovery effects. The emergency response personnel must be able to exchange information with each other anywhere, any time in order to successfully fulfill their mission. Mobile Ad-hoc networks are recommended for sufficient QoS (Quality of Service) in disaster conditions. In this paper we proposed routing mechanism by using various parameters like efficient address allocation over mesh based and tree based multicast through the random casting method of node selection and finally set up a path by using request reply technique over it. The proposed routing mechanism will be helpful for disaster area and enhance quality of service of communication.",,,,,,,,,,,,"International journal of network and mobile technologies",,
"Modeling and Analysis of Production System using Operational Petri Nets with Resources Sharing",,22299114,,,,,,"English","Malasia",,,,,"Sunita Kumawat and G.N. Purohit","Technology-General",,,,,"http://www.ijnmt.com/JournalPapers/Vol2No2/Vol2No2P2.pdf",,,2,2,"Production System, Petri Net, Operational Petri Net, Resources, Siphon",,,,,,,,,"May, 2011",,"In this Paper a new approach of modeling of a Production System (PS) introduced which based on new class of Petri nets called the Operational Petri Net with Resources (OPPNR) sharing. We divide the whole modeling procedure of production system into two stages in first stage a subnets are created for describing the process flows of each part type of PS and in second stage resource places which are represent the availability of resource types, to be added to the subnets. Using this modeling procedure an integrated Operational Petri Net with Resources model of any Production system is obtained, where a place denotes the different part types and resources, and transitions denote the starting and finishing of an operation through different part types and resources. For the illustration we model a Cell-phone Production System (CPPS) as an OPPNR model. For the analysis of behavioral properties of OPPNR model of Cell-phone Production System, a structural approach checking the minimal siphons based on strong reversibility of OPPNRs is adopted.",,,,,,,,,,,,"International journal of network and mobile technologies",,
"Wireless Controlled Two Wheel Balancing Robot",,22299114,,,,,,"English","Malasia",,,,,"Charles Yong><Chiew Foong Kwong","Technology-General",,,,,"http://www.ijnmt.com/JournalPapers/Vol2No2/Vol2No2P4.pdf",,,2,2,"IMU, Accelerometer, Gyroscope, Kalman Filter, PID Controller, Motor Back-EMF, PWM, RF Controlled Robot, UART",,,,,,,,,"May, 2011",,"The idea of two wheel self balancing robot had gain popularity among control system researchers worldwide over the last decade. This thesis aimed to design and build a two wheel self balancing robot that can be controlled remotely. The electronic circuit design for the robot was split into parts and connected together through ribbon cable. The robot chassis was constructed using acrylic and mounted on two motors with 440RPM. Battery weighing 80g was placed on top of the chassis.IMU, which comprises of a triple-axis accelerometer and a dual-axis gyroscope, was chosen as robot tilt angle sensor. Analog voltage readings from IMU were converted to tilt angle values and passed through Kalman filter for data fusion. A PID controller was incorporated to each motor for motor closed loop speed control with motor back-EMF readings as motor speed feedback and PWM duty cycle as controller output. A main PID controller was implemented as the control system for robot balancing with Kalman filtered tilt angle readings as feedback and motor PID controller speed set point value as controller output. A pair of 315MHz RF module was used for robot remote controlling. Data transmitted were encoded to minimize probability of interference by similar source. Microcontroller was linked to the computer through UART for data analyzing on the computer as well as real-time tuning of Kalman filter as well as PID controller through the computer. Lastly, the aim for this project was fully achieved. The robot was able to balance by itself on two wheels with little drift on smooth surface while powered up. The robot can be controlled by the RF controller to move in four directions with random delay caused by noise, which was  expected due to low cost RF module used.",,,,,,,,,,,,"International journal of network and mobile technologies",,
"BER Performance Evaluation of FFT-OFDM and DWT-OFDM",,22299114,,,,,,"English","Malasia",,,,,"Swati Sharma><Sanjeev Kumar","Technology-General",,,,,"http://www.ijnmt.com/JournalPapers/Vol2No2/Vol2No2P5.pdf",,,2,2,"OFDM, Bit Error Rate, FFT, DWT, AWGN, Rayleigh Channel, Rician Channel",,,,,,,,,"May, 2011",,"Orthogonal frequency division multiplexing (OFDM) is a special form of multi carrier transmission which has found its application in a number of wireless and wireline systems. In an OFDM scheme, a large number of orthogonal, overlapping, narrow band sub-channels or subcarriers, transmitted in parallel, divide the available transmission bandwidth. The separation of the subcarriers is theoretically minimal such that there is a very compact spectral utilization. This paper presents the overview and then the performance evaluation results of an OFDM system by using Fast Fourier Transform (FFT) and Discrete Wavelet Transform (DWT). The results presented in the paper are based on computer simulations performed using Matlab; a highly efficient tool for different applications.",,,,,,,,,,,,"International journal of network and mobile technologies",,
"Steady Heat Transfer through a Two-Dimensional Rectangular Straight Fin",,"1024123X",,,,,,"English","USA",,,,,"Raseelo J. Moitsheki><Atish Rowjee","Mechanical Engineering",,,,,"http://www.hindawi.com/journals/mpe/2011/826819/",,,,,"Heat Transfer, Fin Efficiency, Heat Flux, Linear Thermal Conductivity, Nonlinear Thermal Conductivity, Symmetry Analysis,",,,,,,,,,2011,,"Exact solutions for models describing heat transfer in a two-dimensional rectangular fin are constructed. Thermal conductivity, internal energy generation function, and heat transfer coefficient are assumed to be dependent on temperature. We apply the Kirchoff transformation on the governing equation. Exact solutions satisfying the realistic boundary conditions are constructed for the resulting linear equation. Symmetry analysis is carried out to classify the internal heat generation function, and some reductions are performed. Furthermore, the effects of physical parameters such as extension factor (the purely geometric fin parameter) and Biot number on temperature are analyzed. Heat flux and fin efficiency are studied.",,,,,,,,,,,,"Mathematical Problems in Engineering",,
"Review of heat transfer enhancement in different types of extended surfaces",,9755462,,,,,,"English","India",,,,,"A.B.Ganorkar>< V.M.Kriplani","Mechanical Engineering",,,,,"http://www.ijest.info/docs/IJEST11-03-04-124.pdf",,,3,4,"Extended surfaces ; heat exchangers ; heat transfer enhancement",,,,,,,,,2011,,"Extended surface heat exchangers are simple in construction and extensively used in many of the industries. Continuous Research is going on to improve its effectiveness by increasing fluid turbulence, generating secondary fluid flow patterns, reducing the thermal boundary layer thickness and increasing the heat transfer surface area. The present paper is a review of different types of arrangements of extended surfaces.",,,,,,,,,,,,"International Journal of Engineering Science and Technology",,
"Characteristics of water-vapour inversions observed over the Arctic by Atmospheric Infrared Sounder (AIRS) and radiosondes",,16807367,,,,,,"English","Germany",,,,,"A. Devasthale><J. Sedlar><M. Tjernström","Mechanical Engineering",,,,,"http://www.atmos-chem-phys-discuss.net/11/15801/2011/acpd-11-15801-2011.pdf",,,11,5,"Radio soundings, Climatology of WV, water-vapour, Atmospheric Infrared Sounder",,,,,,,,,2011,,"An accurate characterization of the vertical structure of the Arctic atmosphere is useful in climate change and attribution studies as well as for the climate modelling community to improve projections of future climate over this highly sensitive region. Here, we investigate one of the dominant features of the vertical structure of the Arctic atmosphere, i.e. water-vapour inversions, using eight years of Atmospheric Infrared Sounder data (2002–2010) and radiosounding profiles released from the two Arctic locations (North Slope of Alaska at Barrow and during SHEBA). We quantify the characteristics of clear-sky water vapour inversions in terms of their frequency of occurrence, strength and height covering the entire Arctic for the first time. We found that the frequency of occurrence of water-vapour inversions is highest during winter and lowest during summer. The inversion strength is, however, higher during summer. The observed peaks in the median inversion-layer heights are higher during the winter half of the year, at around 850 hPa over most of the Arctic Ocean, Siberia and the Canadian Archipelago, while being around 925 hPa during most of the summer half of the year over the Arctic Ocean. The radiosounding profiles agree with the frequency, location and strength of water-vapour inversions in the Pacific sector of the Arctic. In addition, the radiosoundings indicate that multiple inversions are the norm with relatively few cases without inversions. The amount of precipitable water within the water-vapour inversion structures is estimated and we find a distinct, two-mode contribution to the total column precipitable water. These results suggest that water-vapour inversions are a significant source to the column thermodynamics, especially during the colder winter and spring seasons. We argue that these inversions are a robust metric to test the reproducibility of thermodynamics within climate models. An accurate statistical representation of water-vapour inversions in models would mean that the large-scale coupling of moisture transport, precipitation, temperature and water vapour vertical structure and radiation are also essentially captured well in such models.",,,,,,,,,,,,"Atmospheric Chemistry and Physics Discussions",,
"Effects of Hot Water, Submergence Time and Storage Duration on Quality of Dragon Fruit (Hylocereus polyrhizus)",,19169752,,,,,,"English","Canada",,,,,"Mok Sam Lum><M. A. Norazira","Environmental Engineering",,,,,"http://www.ccsenet.org/journal/index.php/jas/article/view/3303/7022",,,3,1,"Dragon fruit, Hot water temperature, Submergence time, Postharvest produce",,,,,,,,,2011,,"This study was conducted to determine the effects of hot water temperature, time of submergence and storage duration on dragon fruit (Hylocereus polyrhizus). Fresh harvested dragon fruits were treated with hot water temperatures at 35, 45 and 60 ?C and time of submergence for 15, 30 and 60 minutes for 0, 5, 10 and 15 days of storage. The result showed that the hot water temperature significantly affected (p<0.05) the percentage of weight loss, titratable acidity (TA) and firmness of dragon fruit. The highest percentage of weight loss (12.80 %) was the fruit treated with hot water at 60°C and submergence for 60 minutes whereas the lowest percentage of weight loss (5.05 %) was the fruit treated with hot water at 35 °C for 60 minutes. Dragon fruit treated with hot water at 35 °C has high percentage of TA, 2.44 %. Fruit which was submergence in hot water at 35 °C showed the highest fruit firmness. The result also showed that the interaction between the three factors significantly affected (p<0.05) the percentage of weight loss, TA and pH of the fruits. TA decreased and pH increased for the fruit treated with hot water at 35 °C and submergence for 60 minutes. The interaction between hot water temperature at 35 °C and time of submergence for 60 minutes effectively reduced the weight loss and acidity of the dragon fruit (p<0.05). The shelf life and quality of dragon fruits can be extended using proper submergence time of hot water treatment.",,,,,,,,,,,,"Journal of Agricultural Science",,
