"Title","Edition","ISBN","Publisher Name","Publishing Year","Serial Title","Call Number","Language","publishing place","Classification","Notes","Image","File Attach",,"Subject","Item Start value","Specific Detail Info","Copies","Price","label","Supplier","Subtitle","Keyword","Book review","Standards","Frequency"
"Pepper Series - Is Selfish",,"978-81-207-7439-1","SHREE",,,,,,"823/PEP",,,,,"STORY",,,,40,,"BULSAR BOOK STORE",,,,"STORY",
"Pepper Series - Is Careless",,"978-81-207-7441-4","SHREE",,,,,,"823/PEP",,,,,"STORY",,,,40,,"BULSAR BOOK STORE",,,,"STORY",
"Pepper Series - Is Jealous",,"978-81-8499-535-0","SHREE",,,,,,"823/PEP",,,,,"STORY",,,,40,,"BULSAR BOOK STORE",,,,"STORY",
"Pepper Series - Learns Good Habits",,"978-81-8499-531-2","SHREE",,,,,,"823/PEP",,,,,"STORY",,,,40,,"BULSAR BOOK STORE",,,,"STORY",
"Pepper Series - Eat too much cake",,"978-81-84557-552-6","SHREE",,,,,,"823/PEP",,,,,"STORY",,,,40,,"BULSAR BOOK STORE",,,,"STORY",
"Pepper Series - Goes to School",,"978-81-8499-536-7","SHREE",,,,,,"823/PEP",,,,,"STORY",,,,40,,"BULSAR BOOK STORE",,,,"STORY",
"Pepper Learns Good Manners",,"978-81-8499-533-6","SHREE",,,,,,"823/PEP",,,,,"STORY",,,,40,,"BULSAR BOOK STORE",,,,"STORY",
"Pepper in the Dark",,"978-1-8455-673-8","SHREE",,,,,,"823/PEP",,,,,"STORY",,,,40,,"BULSAR BOOK STORE",,,,"STORY",
"Pepper Throws the Trantrum",,"978-1-84557-622-6","SHREE",,,,,,"823/PEP",,,,,"STORY",,,,40,,"BULSAR BOOK STORE",,,,"STORY",
"Pepper Strays Away",,"978-81-84557-553-3","SHREE",,,,,,"823/PEP",,,,,"STORY",,,,40,,"BULSAR BOOK STORE",,,,"STORY",
"Pepper Meet his new Neighbour",,"978-1-84557-678-9","SHREE",,,,,,"823/PEP",,,,,"STORY",,,,40,,"BULSAR BOOK STORE",,,,"STORY",
"Pepper Learn to take the Blame",,"978-1-84557-620-2","SHREE",,,,,,"823/PEP",,,,,"STORY",,,,40,,"BULSAR BOOK STORE",,,,"STORY",
"Pepper goes to the Doctort",,"978-1-84557-672-1","SHREE",,,,,,"823/PEP",,,,,"STORY",,,,40,,"BULSAR BOOK STORE",,,,"STORY",
"Pepper Learns to Keep Pomise",,"978-81-8499-534-3","SHREE",,,,,,"823/PEP",,,,,"STORY",,,,40,,"BULSAR BOOK STORE",,,,"STORY",
"Pepper and Mama's New Job",,"978-81-8499-532-9","SHREE",,,,,,"823/PEP",,,,,"STORY",,,,40,,"BULSAR BOOK STORE",,,,"STORY",
"Pepper gets a New Pet",,"978-81-84557-537-1","SHREE",,,,,,"823/PEP",,,,,"STORY",,,,40,,"BULSAR BOOK STORE",,,,"STORY",
"Pepper has a Fight ",,"978-81-84557-55-7","SHREE",,,,,,"823/PEP",,,,,"STORY",,,,40,,"BULSAR BOOK STORE",,,,"STORY",
"Pepper Wants too many Toys",,"978-81-84557-554-0","SHREE",,,,,,"823/PEP",,,,,"STORY",,,,40,,"BULSAR BOOK STORE",,,,"STORY",
"Pepper watch too much T.V.",,"978-1-84587-624-0","SHREE",,,,,,"823/PEP",,,,,"STORY",,,,40,,"BULSAR BOOK STORE",,,,"STORY",
"Pepper and The New Baby",,"978-1-84557-619-6","SHREE",,,,,,"823/PEP",,,,,"STORY",,,,40,,"BULSAR BOOK STORE",,,,"STORY",
"Pepper learns to take turns.",,"978-1-84557-623-3","SHREE",,,,,,"823/PEP",,,,,"STORY",,,,40,,"BULSAR BOOK STORE",,,,"STORY",
"Pepper at the table",,"978-1-84557-621-9","SHREE",,,,,,"823/PEP",,,,,"STORY",,,,40,,"BULSAR BOOK STORE",,,,"STORY",
"Bubbles is Honest",,"978-81-768-6025-3","SHREE",,,,,,"823/BUB",,,,,"STORY",,,,40,,"BULSAR BOOK STORE",,,,"STORY",
"Bubbles is Lost 2",,"978-81-768-6024-6","SHREE",,,,,,"823/BUB",,,,,"STORY",,,,40,,"BULSAR BOOK STORE",,,,"STORY",
"Bubbles is Careless 3",,"978-81-768-6023-9","SHREE",,,,,,"823/BUB",,,,,"STORY",,,,40,,"BULSAR BOOK STORE",,,,"STORY",
"Bubbles Owns Up 4",,"978-81-768-6022-2","SHREE",,,,,,"823/BUB",,,,,"STORY",,,,40,,"BULSAR BOOK STORE",,,,"STORY",
"Bubbles is Greedy 5",,"978-81-768-6021-5","SHREE",,,,,,"823/BUB",,,,,"STORY",,,,40,,"BULSAR BOOK STORE",,,,"STORY",
"Bubbles Finds A Red Ball 6",,"978-81-768-6020-8","SHREE",,,,,,"823/BUB",,,,,"STORY",,,,40,,"BULSAR BOOK STORE",,,,"STORY",
"Bubbles Goes To School 7",,"978-81-768-6099-4","SHREE",,,,,,"823/BUB",,,,,"STORY",,,,40,,"BULSAR BOOK STORE",,,,"STORY",
"Bubbles The Artist",,"978-81-768-6098-7","SHREE",,,,,,"823/BUB",,,,,"STORY",,,,40,,"BULSAR BOOK STORE",,,,"STORY",
"Bubbles Play with the Fire 9",,"978-81-768-6097-0","SHREE",,,,,,"823/BUB",,,,,"STORY",,,,40,,"BULSAR BOOK STORE",,,,"STORY",
"Bubbles Has a Toothache 10",,"978-81-768-6096-3","SHREE",,,,,,"823/BUB",,,,,"STORY",,,,40,,"BULSAR BOOK STORE",,,,"STORY",
"Bubbles the Litterbug 11",,"978-81-768-6095-6","SHREE",,,,,,"823/BUB",,,,,"STORY",,,,40,,"BULSAR BOOK STORE",,,,"STORY",
"Bubbles is Selfish 12",,"978-81-768-6094-9","SHREE",,,,,,"823/BUB",,,,,"STORY",,,,40,,"BULSAR BOOK STORE",,,,"STORY",
"I Can Read (The Elephant's Nose) Level-2",,"978-81-8499-887-0","SHREE",,,,,,"823/GOO",,,,"GOOL.VAN;Author","STORY",,,,85,,"BULSAR BOOK STORE",,,,"STORY",
"I Can Read (Aladdin) Level-2",,"978-81-8499-880-1","SHREE",,,,,,"823/GOO",,,,"GOOL.VAN;Author","STORY",,,,85,,"BULSAR BOOK STORE",,,,"STORY",
"I Can Read (The Little Pig) Level-2",,"978-81-8499-897-9","SHREE",,,,,,"823/GOO",,,,"GOOL.VAN;Author","STORY",,,,85,,"BULSAR BOOK STORE",,,,"STORY",
"I Can Read (The Ugly Duckling) Level-2",,"978-81-8499-896-2","SHREE",,,,,,"823/GOO",,,,"GOOL.VAN;Author","STORY",,,,85,,"BULSAR BOOK STORE",,,,"STORY",
"I Can Read (Bambi) Level-2",,"978-81-8499-881-8","SHREE",,,,,,"823/GOO",,,,"GOOL.VAN;Author","STORY",,,,85,,"BULSAR BOOK STORE",,,,"STORY",
"I Can Read (Goldilocks And The Three Bears) Level-2",,"978-81-8499-884-9","SHREE",,,,,,"823/GOO",,,,"GOOL.VAN;Author","STORY",,,,85,,"BULSAR BOOK STORE",,,,"STORY",
"I Can Read (Petter Pan) Level-2",,"978-81-8499-890-0","SHREE",,,,,,"823/GOO",,,,"GOOL.VAN;Author","STORY",,,,85,,"BULSAR BOOK STORE",,,,"STORY",
"I Can Read Jungle Book",,"978-81-8499-886-3","SHREE",,,,,,"823/GOO",,,,"GOOL.VAN;Author","STORY",,,,85,,"BULSAR BOOK STORE",,,,"STORY",
"I Can Read The Little Mermaid",,"978-81-8499-895-5","SHREE",,,,,,"823/GOO",,,,"GOOL.VAN;Author","STORY",,,,85,,"BULSAR BOOK STORE",,,,"STORY",
"Noddy Toy Town Friend :Sly",,"978-81-286-2252-6","(SHREE) Euro Kids",2009,,,,,"823/BLY",,,,"BLYTON.ENID;Author","STORY",,,,48,,"BULSAR BOOK STORE",,,,"STORY",
"Noddy Toy Town Friend :Big Ears",,"978-81-286-2252-6","(SHREE) Euro Kids",2009,,,,,"823/BLY",,,,"BLYTON.ENID;Author","STORY",,,,48,,"BULSAR BOOK STORE",,,,"STORY",
"Noddy Toy Town Friend :Clock Work Mouse",,"978-81-286-2259-5","(SHREE) Euro Kids",2009,,,,,"823/BLY",,,,"BLYTON.ENID;Author","STORY",,,,48,,"BULSAR BOOK STORE",,,,"STORY",
"Noddy Toy Town Friend :Martha Monkey",,"978-81-286-2256-4","(SHREE) Euro Kids",2009,,,,,"823/BLY",,,,"BLYTON.ENID;Author","STORY",,,,48,,"BULSAR BOOK STORE",,,,"STORY",
"Noddy Toy Town Friend :Mr. Jumbo",,"978-81-286-2257-1","(SHREE) Euro Kids",2009,,,,,"823/BLY",,,,"BLYTON.ENID;Author","STORY",,,,48,,"BULSAR BOOK STORE",,,,"STORY",
"Noddy Toy Town Friend :The Skittle Family",,"978-81-286-2253-3","(SHREE) Euro Kids",2009,,,,,"823/BLY",,,,"BLYTON.ENID;Author","STORY",,,,48,,"BULSAR BOOK STORE",,,,"STORY",
"Noddy Toy Town Friend :Dinah Doll",,"978-81-286-2254-0","(SHREE) Euro Kids",2009,,,,,"823/BLY",,,,"BLYTON.ENID;Author","STORY",,,,48,,"BULSAR BOOK STORE",,,,"STORY",
"Noddy Toy Town Friend :Tessie Bear",,"978-81-286-2258-8","(SHREE) Euro Kids",2009,,,,,"823/BLY",,,,"BLYTON.ENID;Author","STORY",,,,48,,"BULSAR BOOK STORE",,,,"STORY",
"Animal Moral Stories Frisky And Slobby ",,"978-81-8499-570-1","SHREE",2009,,,,,"823/ANI",,,,,"STORY",,,,35,,"BULSAR BOOK STORE",,,,"STORY",
"Animal Moral Story Jim And His Friends ",,"978-81-8499-569-5","SHREE",2009,,,,,"823/ANI",,,,,"STORY",,,,35,,"BULSAR BOOK STORE",,,,"STORY",
"Animal Moral Story Nycl And Nasti ",,"978-81-8499-571-8","SHREE",2009,,,,,"823/ANI",,,,,"STORY",,,,35,,"BULSAR BOOK STORE",,,,"STORY",
"Animal Moral Story Monty And The Thevies ",,"978-81-8499-573-2","SHREE",2009,,,,,"823/ANI",,,,,"STORY",,,,35,,"BULSAR BOOK STORE",,,,"STORY",
"Animal Moral Story Ralhh And The Time ",,"978-81-8499-568-8","SHREE",2009,,,,,"823/ANI",,,,,"STORY",,,,35,,"BULSAR BOOK STORE",,,,"STORY",
"Animal Moral Story (Large Print) Percy And His Pranks ",,"978-81-8499-575-6","SHREE",,,,,,"823/ANI",,,,,"STORY",,,,35,,"BULSAR BOOK STORE",,,,"STORY",
"Animal Moral Story (Large Print) Tru And Fib",,"978-81-8499-572-5","SHREE",,,,,,"823/ANI",,,,,"STORY",,,,35,,"BULSAR BOOK STORE",,,,"STORY",
"Animal Moral Story (Large Print) The Jackal And The Tiger",,"978-81-8499-574-9","SHREE",,,,,,"823/ANI",,,,,"STORY",,,,35,,"BULSAR BOOK STORE",,,,"STORY",
"Animal AdventureStory (Large Print) Jack And The Treasure",,"978-81-8499-560-2","SHREE",,,,,,"823/ANI",,,,,"STORY",,,,35,,"BULSAR BOOK STORE",,,,"STORY",
"Animal Adventure Story Fret And Polly",,"978-81-8499-565-7","SHREE",,,,,,"823/ANI",,,,,"STORY",,,,35,,"BULSAR BOOK STORE",,,,"STORY",
"Animal AdventureStory Sue, Hayden And Raft ",,"978-81-8499-562-6","SHREE",,,,,,"823/ANI",,,,,"STORY",,,,35,,"BULSAR BOOK STORE",,,,"STORY",
"Animal Adventure Story Wooly And The Magic Classes",,"978-81-8499-567-1","SHREE",,,,,,"823/ANI",,,,,"STORY",,,,35,,"BULSAR BOOK STORE",,,,"STORY",
"Animal Adventure Story Zender And The Glowing Toy",,"978-81-8499-563-3","SHREE",,,,,,"823/ANI",,,,,"STORY",,,,35,,"BULSAR BOOK STORE",,,,"STORY",
"AnimalAdventure Story Robble And Dean",,"978-81-8499-546-0","SHREE",,,,,,"823/ANI",,,,,"STORY",,,,35,,"BULSAR BOOK STORE",,,,"STORY",
"Animal Adventure Story Kathy And The Time Machine",,"978-81-8499-561-9","SHREE",,,,,,"823/ANI",,,,,"STORY",,,,35,,"BULSAR BOOK STORE",,,,"STORY",
"Animal Adventure Story Mike And The Bunny",,"978-81-8499-566-4","SHREE",,,,,,"823/ANI",,,,,"STORY",,,,35,,"BULSAR BOOK STORE",,,,"STORY",
"Character Builder Ted and The Bicycle",,"978-81-8499-582-4","SHREE",,,,,,"823/CHA",,,,,"STORY",,,,35,,"BULSAR BOOK STORE",,,,"STORY",
"Chararcter Builder Huber and The Thief",,"978-81-8499-579-4","SHREE",,,,,,"823/CHA",,,,,"STORY",,,,35,,"BULSAR BOOK STORE",,,,"STORY",
"Character Builder Sarah, Carl and Party",,"978-81-8499-577-0","SHREE",,,,,,"823/CHA",,,,,"STORY",,,,35,,"BULSAR BOOK STORE",,,,"STORY",
"Character Builder Thomo and Kyle",,"978-81-8499-583-1","SHREE",,,,,,"823/CHA",,,,,"STORY",,,,35,,"BULSAR BOOK STORE",,,,"STORY",
"Character Builder Stories Nosey and The Fox.",,"978-81-8499-581-7","SHREE",,,,,,"823/CHA",,,,,"STORY",,,,35,,"BULSAR BOOK STORE",,,,"STORY",
"Character Builder Nolan The Honey",,"978-81-8499-580-0","SHREE",,,,,,"823/CHA",,,,,"STORY",,,,35,,"BULSAR BOOK STORE",,,,"STORY",
"Character Builder Goran and His Adventure",,"978-81-8499-578-7","SHREE",,,,,,"823/CHA",,,,,"STORY",,,,35,,"BULSAR BOOK STORE",,,,"STORY",
"Panchatantra The Owl and TheSwan, The Snake and The Foolish Frogs",,"978-81-7963-443-1","SHREE",,,,,,"823/PAN",,,,,"STORY",,,,60,,"BULSAR BOOK STORE",,,,"STORY",
"Panchatantra The Fox and The Grapes, The Brahmin and his Foolish Son",,"978-81-7963-444-8","SHREE",,,,,,"823/PAN",,,,,"STORY",,,,60,,"BULSAR BOOK STORE",,,,"STORY",
"Panchatantra The Lion and The Woodcutter, The Crane and The Crab",,"978-81-7963-440-0","SHREE",,,,,,"823/PAN",,,,,"STORY",,,,60,,"BULSAR BOOK STORE",,,,"STORY",
"Panchatantra The Rabbit and The Lion, The Crows and The Serpent",,"978-81-9763-442-4","SHREE",,,,,,"823/PAN",,,,,"STORY",,,,60,,"BULSAR BOOK STORE",,,,"STORY",
"Panchatantra The Clever Monkey and The Crocodile, The Swan and The Turtle",,"978-81-7963-437-0","SHREE",,,,,,"823/PAN",,,,,"STORY",,,,60,,"BULSAR BOOK STORE",,,,"STORY",
"Panchatantra The Crow and The Jackal, The Barber and The Saint",,"978-81-7963-447-9","SHREE",,,,,,"823/PAN",,,,,"STORY",,,,60,,"BULSAR BOOK STORE",,,,"STORY",
"Panchatantra The Indigo Jackal, Thie Wise Frog",,"978-81-7963-438-7","SHREE",,,,,,"823/PAN",,,,,"STORY",,,,60,,"BULSAR BOOK STORE",,,,"STORY",
"Panchatantra The Four learned Brahmins, The Donkey who would Sing.",,"978-81-7963-436-3","SHREE",,,,,,"823/PAN",,,,,"STORY",,,,60,,"BULSAR BOOK STORE",,,,"STORY",
"Panchatantra The Faithful Mongoose, The Foolish Monkey",,"978-81-7963-441-7","SHREE",,,,,,"823/PAN",,,,,"STORY",,,,60,,"BULSAR BOOK STORE",,,,"STORY",
"Panchatantra The Lion and The Talking Den, The Jackal and The War Drum",,"978-81-7963-439-4","SHREE",,,,,,"823/PAN",,,,,"STORY",,,,60,,"BULSAR BOOK STORE",,,,"STORY",
"Panchatantra The Brahmin and His Dream, The Capseller and The Monkey",,"978-81-7963-446-2","SHREE",,,,,,"823/PAN",,,,,"STORY",,,,60,,"BULSAR BOOK STORE",,,,"STORY",
"Panchatantra The Tree that Talked, The Crow and The pot of Water",,"978-81-7963-445-5","SHREE",,,,,,"823/PAN",,,,,"STORY",,,,60,,"BULSAR BOOK STORE",,,,"STORY",
"Fabulous Grandpa Stories",,"978-93-5049-411-0","SHREE",2012,,,,,"823/FAB",,,,,"STORY",,,,199,,"BULSAR BOOK STORE",,,,"STORY",
"Magical Fairy Tales",,"978-93-5049-405-9","SHREE",2012,,,,,"823/MAG",,,,,"STORY",,,,199,,"BULSAR BOOK STORE",,,,"STORY",
"Fabulous Stories from Arabian Nights",,"978-93-5049-427-1","SHREE",2012,,,,,"823/FAB",,,,,"STORY",,,,199,,"BULSAR BOOK STORE",,,,"STORY",
"Fabulous Fairy Tales",,"978-93-5049-403-5","SHREE",2012,,,,,"823/FAB",,,,,"STORY",,,,199,,"BULSAR BOOK STORE",,,,"STORY",
"Awesome Stories from Arabian Nights",,"978-93-5049-428-8","SHREE",2012,,,,,"823/AWE",,,,,"STORY",,,,199,,"BULSAR BOOK STORE",,,,"STORY",
"Magical Aesop's Fables",,"978-93-5049-401-1","SHREE",2012,,,,,"823/MAG",,,,,"STORY",,,,199,,"BULSAR BOOK STORE",,,,"STORY",
"Awesome Fairy Tales",,"978-93-5049-404-1","SHREE",2012,,,,,"823/AWE",,,,,"STORY",,,,199,,"BULSAR BOOK STORE",,,,"STORY",
"Magical Stories from Indian Mythology",,"978-93-5049-432-5","SHREE",2012,,,,,"823/FAB",,,,,"STORY",,,,199,,"BULSAR BOOK STORE",,,,"STORY",
"Fabuluos Stories from Indian Mythology",,"978-93-5049-430-1","SHREE",2012,,,,,"823/MAG",,,,,"STORY",,,,199,,"BULSAR BOOK STORE",,,,"STORY",
"Fabulous Tales of God & Demons from Indian Mythology",,"978-93-5049-449-3","SHREE",2012,,,,,"823/FAB",,,,,"STORY",,,,199,,"BULSAR BOOK STORE",,,,"STORY",
"Fabulous Aesop's Fables",,"978-93-5049-402-8","SHREE",2012,,,,,"823/FAB",,,,,"STORY",,,,199,,"BULSAR BOOK STORE",,,,"STORY",
"Magical Tales of God & Demons from Indian Mythology",,"978-93-5049-448-6","SHREE",2012,,,,,"823/MAG",,,,,"STORY",,,,199,,"BULSAR BOOK STORE",,,,"STORY",
"Awesome Stories from Indian Mythology",,"978-93-5049-431-8","SHREE",2012,,,,,"823/AWE",,,,,"STORY",,,,199,,"BULSAR BOOK STORE",,,,"STORY",
"Awesome Tales of God & Demons from Indian Mythology",,"978-93-5049-447-9","SHREE",2012,,,,,"823/AWE",,,,,"STORY",,,,199,,"BULSAR BOOK STORE",,,,"STORY",
"Fabulous Grandma Stories",,"978-93-5049-409-7","SHREE",2012,,,,,"823/FAB",,,,,"STORY",,,,199,,"BULSAR BOOK STORE",,,,"STORY",
"Awesome Stories from Arabian Nights",,"978-93-5049-428-8","SHREE",2012,,,,,"823/AWE",,,,,"STORY",,,,199,,"BULSAR BOOK STORE",,,,"STORY",
"Awesome Grandma Stories",,"978-93-5049-408-0","SHREE",2012,,,,,"823/AWE",,,,,"STORY",,,,199,,"BULSAR BOOK STORE",,,,"STORY",
"Magical Humorous Tales of tenali Raman",,"978-93-5049-418-9","SHREE",2012,,,,,"823/MAG",,,,,"STORY",,,,199,,"BULSAR BOOK STORE",,,,"STORY",
"Fabuluos Humorous Tales of tenali Raman",,"978-93-5049-416-5","SHREE",2012,,,,,"823/FAB",,,,,"STORY",,,,199,,"BULSAR BOOK STORE",,,,"STORY",
"Awesome Humorous Tales of tenali Raman",,"978-93-5049-417-2","SHREE",2012,,,,,"823/AWE",,,,,"STORY",,,,199,,"BULSAR BOOK STORE",,,,"STORY",
"Awesome Grandpa Stories",,"978-93-5049-410-3","SHREE",2012,,,,,"823/AWE",,,,,"STORY",,,,199,,"BULSAR BOOK STORE",,,,"STORY",
"Awesome Wit & Wisdom of Akbar & Birbal",,"978-93-5049-451-6","SHREE",2012,,,,,"823/AWE",,,,,"STORY",,,,199,,"BULSAR BOOK STORE",,,,"STORY",
"Magical Adventure of Hanuman",,"978-93-5049-399-1","SHREE",2012,,,,,"823/MAG",,,,,"STORY",,,,199,,"BULSAR BOOK STORE",,,,"STORY",
"Magical Panchatantra Stories",,"978-93-5049-422-6","SHREE",2012,,,,,"823/MAG",,,,,"STORY",,,,199,,"BULSAR BOOK STORE",,,,"STORY",
"Magical Stories from Arabian Nights",,"978-93-5049-429-5","SHREE",2012,,,,,"823/MAG",,,,,"STORY",,,,199,,"BULSAR BOOK STORE",,,,"STORY",
"Fabulous Wit & Wisdom of Akbar & Birbal",,"978-93-5049-450-9","SHREE",2012,,,,,"823/FAB",,,,,"STORY",,,,199,,"BULSAR BOOK STORE",,,,"STORY",
"Fabulous Panchatantra Stories",,"978-93-5049-421-9","SHREE",2012,,,,,"823/FAB",,,,,"STORY",,,,199,,"BULSAR BOOK STORE",,,,"STORY",
"1001 Amazing Fact",,"978-81-7963-796-2","SHREE",,,,,,"001/AMA",,,,,,,,,299,,"BULSAR BOOK STORE",,,,"KNOWLEDGE",
"Animal Fair",,9788170118732,"CBT",2012,,,,,"823/KAN",,,,"KANTH.SHARMILA;Author","STORY",,,,25,,"BULSAR BOOK STORE",,,,"STORY",
"Lucky The Licking Dog",,"978-81-89750-65-7","CBT",2012,,,,,"823/VIS",,,,"VISHWANATHAN.RENUKA;Author","STORY",,,,25,,"BULSAR BOOK STORE",,,,"STORY",
"Wedding Clothes",,9788170118718,"CBT",2011,,,,,"823/NEH",,,,"NEHEMIAH.ASHA;Author","STORY",,,,25,,"BULSAR BOOK STORE",,,,"STORY",
"Dusty The Dachshund",,9788170118756,"CBT",2011,,,,,"823/RAO",,,,"RAO.CHERYL;Author","STORY",,,,25,,"BULSAR BOOK STORE",,,,"STORY",
"Eena's Library Book",,9788170118213,"CBT",2012,,,,,"823/GAN",,,,"GANDHI.RAVINA;Author","STORY",,,,25,,"BULSAR BOOK STORE",,,,"STORY",
"A present for Papa",,9788170119432,"CBT",2012,,,,,"823/KAN",,,,"KANTH.SHARMILA;Author","STORY",,,,25,,"BULSAR BOOK STORE",,,,"STORY",
"A Hairy Tale",,9788170119326,"CBT",2011,,,,,"823/PAN",,,,"PANDYA.MAMATA;Author","STORY",,,,25,,"BULSAR BOOK STORE",,,,"STORY",
"All Fool's Day",,9788170114109,"CBT",2012,,,,,"823/SRI",,,,"SRIVASTAVS.SIGRUN;Author","STORY",,,,25,,"BULSAR BOOK STORE",,,,"STORY",
"When a Duckling is Scared",,"978-81-89750-63-3","CBT",2011,,,,,"823/SHY",,,,"S.SHYAMALA;Author","STORY",,,,25,,"BULSAR BOOK STORE",,,,"STORY",
"Zoo Duck",,9788170118183,"CBT",2012,,,,,"823/SRI",,,,"SRINIVASAN.HARINI GOPALSWAMI;Author","STORY",,,,25,,"BULSAR BOOK STORE",,,,"STORY",
"Opposite Fun",,"978-93-80076-62-1","CBT",2012,,,,,"823/KAS",,,,"KASTURIA.KIRAN;Author","STORY",,,,25,,"BULSAR BOOK STORE",,,,"STORY",
"The Ribbon",,9788170113393,"CBT",2012,,,,,"823/SHA",,,,"SHANKAR.SUKUMAR;Author","STORY",,,,25,,"BULSAR BOOK STORE",,,,"STORY",
"The Bubbly Drop",,"978-81-89750-68-8","CBT",2012,,,,,"823/SIN",,,,"SINGH.RUNGEEN;Author","STORY",,,,25,,"BULSAR BOOK STORE",,,,"STORY",
"The Climbing Ant",,"978-93-80076-52-2","CBT",2012,,,,,"823/VIR",,,,"VIRMANI.AMITAV;Author","STORY",,,,25,,"BULSAR BOOK STORE",,,,"STORY",
"Mrs. Woolly's Funny Sweaters",,9788170119715,"CBT",2011,,,,,"823/NEH",,,,"NEHEMIAH.ASHA;Author","STORY",,,,25,,"BULSAR BOOK STORE",,,,"STORY",
"The Tiger and The Mosquito",,9788170119531,"CBT",2012,,,,,"823/SRI",,,,"SRIVASTAVA.MRINALINI;Author","STORY",,,,25,,"BULSAR BOOK STORE",,,,"STORY",
"The day Sun Refused to Rise",,"978-93-80076-58-4","CBT",2012,,,,,"823/JAN",,,,"JANARDHAN.MALA;Author","STORY",,,,25,,"BULSAR BOOK STORE",,,,"STORY",
"Boofy The Brava",,"978-93-80076-15-7","CBT",2012,,,,,"823/SHA",,,,"SHANKAR.ALAKA;Author","STORY",,,,25,,"BULSAR BOOK STORE",,,,"STORY",
"My Fish and I",,9788170118190,"CBT",2012,,,,,"823/RAJ",,,,"RAJAN.KALYANI;Author","STORY",,,,25,,"BULSAR BOOK STORE",,,,"STORY",
