"PHILOSOPHY OF RELIGION",,,"BLACKWELL PUBLICATION",2003,,,,"ENGLISH",,"290.10",,,,"TALIAFERRO, C. AND GRIFFITHS, P, J.","GEN,TITLE,","00039",,"1","795",,"UNIQUE BOOK STORE",,,,"GEN,TITLE,",,,,,,,,,,,,,,,,,,,,,,,,,
"PHILOSOPHY OF LITERATURE",,,"BLACKWELL PUBLICATION",2004,,,,"ENGLISH",,"801",,,,"JOHN, E. AND LOPES, D, M.","GEN,TITLE,","00040",,"1","795",,"UNIQUE BOOK STORE",,,,"GEN,TITLE,",,,,,,,,,,,,,,,,,,,,,,,,,
"PHILOSOPHY OF EDUCATION",,,"BLACKWELL PUBLICATION",2003,,,,"ENGLISH",,"370.1",,,,"BLAKE, N. AND OTHERS","GEN,TITLE,","00041",,"1","975",,"UNIQUE BOOK STORE",,,,"GEN,TITLE,",,,,,,,,,,,,,,,,,,,,,,,,,
"LEARNING TO QUESTION: QUESTIONING TO LEARN",,,"ALLYN AND BACON",2001,,,,"ENGLISH",,"373.137",,,,"DANTONIO, M. AND BEISENHERZ, P, C.","GEN,","00042",,"1","395",,"UNIQUE BOOK STORE",,,,"GEN,",,,,,,,,,,,,,,,,,,,,,,,,,
"STUDENT'S GUIDE TO STUDYING PSYCHOLOGY",,,"PSYCHOLOGY PRESS",1999,,,,"ENGLISH",,"150",,,,"HEFFERNAN, T, M.","GEN,TITLE,","00043",,"1","495",,"UNIQUE BOOK STORE",,,,"GEN,TITLE,",,,,,,,,,,,,,,,,,,,,,,,,,
"PHILOSOPHY OF SCIENCE",,,"MIT PRESS",1991,,,,"ENGLISH","CAMBRIDGE","500.10",,,,"BOYD, R. AND OTHERS","GEN,TITLE,","00044",,"1","495",,"UNIQUE BOOK STORE",,,,"GEN,TITLE,",,,,,,,,,,,,,,,,,,,,,,,,,
"PHILOSOPHY",,,"BLACKWELL PUBLICATION",2003,,,,"ENGLISH",,"100",,,,"GUTTENPLAN, S. AND OTHERS","GEN,TITLE,","00045",,"1","795",,"UNIQUE BOOK STORE",,,,"GEN,TITLE,",,,,,,,,,,,,,,,,,,,,,,,,,
"MASTERING PHILOSOPHY",2,,"PALGRAVE FOUNDATIONS",2001,,,,"ENGLISH","NEW DELHI  ","100",,,,"HARRISON BARBET, A. ","GEN,","00046",,"1","395",,"UNIQUE BOOK STORE",,,,"GEN,",,,,,,,,,,,,,,,,,,,,,,,,,
"CONTINENTAL PHILOSOPHY",,,"BLACKWELL PUBLICATION",1998,,,,"ENGLISH",,"190",,,,"MCNEILL, W. AND FELDMAN, K, S.","GEN,TITLE,","00047",,"1","499",,"UNIQUE BOOK STORE",,,,"GEN,TITLE,",,,,,,,,,,,,,,,,,,,,,,,,,
"ENCYCLOPEDIA OF WORLD WRITERS",,,"VIVA BOOKS PRIVATE LIMITED",2005,,,,"ENGLISH","NEW DELHI","703",,,,"DIAMOND, M, J. AND OTHERS","GEN,TITLE,","00048",,"1","1295",,"UNIQUE BOOK STORE",,,,"GEN,TITLE,",,,,,,,,,,,,,,,,,,,,,,,,,
