Title,Edition,ISBN,Publisher Name,Publishing Year,Serial Title,Call Number,Language,publishing place,Classification,Notes,Image,File Attach,Author,Subject,Item Start value,Specific Detail Info,Copies,Price,label,Supplier,Subtitle,Keyword,Book review,Standards,Frequency,
Good Deeds,,,Scholastic Printing New York,1975,,777,English,,,,,,Norman Bridwell,,777,,1,$3.99 ,,,,,,,,
Beauty and the Beast,1,,A Golden Book New York,,,778,English,,,,,,Micheal Teitelbaum,,778,,1,,,,,,,,,
Buffalo Woman,,,Macmillan Publishing New York,,,779,English,,,,,,Paul Goble,,779,,1,$4.95 ,,,,,,,,
Tiny Turtle wants a Friend,1,,Scholastic Printing New York,2008,,780,English,,,,,,Shilpa Ranade,,780,,1,150,,,,,,,,
Dora goes to the Doctor,1,,Scholastic Printing New York,2008,,781,English,,,,,,Phoebe Beinstein,,781,,1,$3.99 ,,,,,,,,
Dora Thanks Giving,1,,Scholastic Printing New York,2008,,782,English,,,,,,Sarah Willson,,782,,1,$3.99 ,,,,,,,,
Dora Had a Little Lamb,1,,Scholastic Printing New York,2008,,783,English,,,,,,Elle D Risco,,783,,1,$3.99 ,,,,,,,,
It's Sharing Day,1,,Scholastic Printing New York,2008,,784,English,,,,,,Kirsten Larsen,,784,,1,$3.99 ,,,,,,,,
Good Night Dora,1,,Scholastic Printing New York,2008,,785,English,,,,,,Christine Ricci,,785,,1,$3.99 ,,,,,,,,
Good Night Dora,1,,Scholastic Printing New York,2008,,786,English,,,,,,Christine Ricci,,786,,1,$3.99 ,,,,,,,,
School Riddles From the Black Lagoon,1,,Scholastic Printing New York,2008,,787,English,,,,,,Mike Thaler,,787,,1,,,,,,,,,
Fairy Tales The Brave tin Soldier,,,Saraswati House  New Delhi,2016,,788,English,,,,,,Sarawati Book ,,788,,1,85,,,,,,,,
Fairy Tales The Elves the Shoemaker,,,Saraswati House  New Delhi,2016,,789,English,,,,,,Sarawati Book ,,789,,1,85,,,,,,,,
Fairy Tales The Elves the Shoemaker,,,Saraswati House  New Delhi,2016,,790,English,,,,,,Sarawati Book ,,790,,1,85,,,,,,,,
Cindrella and the Lost Mice,,,Random House,,,791,English,,,,,,Disney,,791,,1,$5.99 ,,,,,,,,
A mermaid Tale,,,Random House,,,792,English,,,,,,Disney,,792,,1,$3.99 ,,,,,,,,
The Special Delivery,,,Random House,2002,,793,English,,,,,,Richard Courtney,,793,,1,$3.99 ,,,,,,,,
Little Engines Can do big things,,,Random House,2000,,794,English,,,,,,Britt Allcroft,,794,,1,$3.25 ,,,,,,,,
The Jurassic Dinosaurs,1,,Scholastic Printing New York,2000,,795,English,,,,,,Dougal Dixon,,795,,1,,,,,,,,,
What is Hanukkah?,1,,Harpar Festival,,,796,English,,,,,,Harriet Ziefert,,796,,1,$6.95 ,,,,,,,,
Dinosaurs ,,,Random House,2000,,797,English,,,,,,Peter Zallinger,,797,,1,,,,,,,,,
Crocodiles & Alligators,,,Harpar Collins,,,798,English,,,,,,Seymour Simon,,798,,1,$6.99 ,,,,,,,,
Kids Craft and Play ideas,1,,A Bay Books Publication,1993,,799,English,,,,,,Jennie mackenzie,,799,,1,150,,,,,,,,
Exploring the Titanic ,1,,Madison Press Books ,1988,,800,English,,,,,,Robert D. Ballard,,800,,1,,,,,,,,,
Magic of Pegasus,1,,Random House,2005,,801,English,,,,,,Andrea Posner,,801,,1,$3.99 ,,,,,,,,
The Real Tooth Fairy,1,,Harcourt Brace & Company,1990,,802,English,,,,,,Marilyn kaye,,802,,1,$5.00 ,,,,,,,,
Shoes for Sharon,1,,"Shree book centre, Mumbai",,,803,English,,,,,,Shree Book,,803,,1,60,,,,,,,,
There's a Nightmare in my Closet Marianna from cotton to rabbit,,,A pied Piper Book,1968,,804,English,,,,,,Mercer Mayer,,804,,1,,,,,,,,,
Memory Train your Memory,1,,Adhia International Ahem,2008,,805,English,,,,,,Dr.Jitendra Adhia,,805,,1,100,,,,,,,,
Stories ofTenali Rama,1,,"Shree book centre, Mumbai",,,806,English,,,,,,Shree Book,,806,,1,175,,,,,,,,
Astroboy The Movie,,,Penguin Group New York,,,807,English,,,,,,Penguin Group,,807,,1,$3.99 ,,,,,,,,
"Arthur ,Its only Rock n Roll",1,,Scholastic Printing New York,2003,,808,English,,,,,,Marc Brown,,808,,1,$4.50 ,,,,,,,,
The Lion king Offficial game Book,1,,Brady Publishing,1994,,809,English,,,,,,Jonathan Taylor,,809,,1,$12.99 ,,,,,,,,
Lost in the Snow,,,Scholastic Printing New York,2008,,810,English,,,,,,Linda Jennings,,810,,1,$4.99 ,,,,,,,,
The Buried City of Pompeii,,,Medison Press Book,,,811,English,,,,,,Shelley Tanaka,,811,,1,$7.99 ,,,,,,,,
Guide to Healthy Child,,,CRB group,,,812,English,,,,,,C.R Bhansali,,812,,1,,,,,,,,,
Fairy Tales The Brave tin Soldier,,,"Shree book centre, Mumbai",2016,,813,English,,,,,,Shree Book,,813,,1,85,,,,,,,,
Desert Wildlife Action File,,,Marshall Direct Learning Ltd,1998,,814,English,,,,,,Jinny johnson,,814,,1,,,,,,,,,
Chicken soup for Little souls,,,Scholastic Printing New York,2001,,815,English,,,,,,Jack Canfield,,815,,1,,,,,,,,,
The story of My Life ,,,Goyal Brothers Prakashan,2015,,816,English,,,,,,Helen keller,,816,,1,135,,,,,,,,
The Little Mermaid,,,Dhigara Publising House,1990,,817,English,,,,,,D.N Mukherjee,,817,,1,13,,,,,,,,
The care & Keeping of You,,,Pleasant Company Publication,1998,,818,English,,,,,,Valorie Lee Schaefer,,818,,1,$8.95 ,,,,,,,,
The First Complete Book of Games,,,Sterling press Pvt. Ltd,2006,,819,English,,,,,,Sterling press,,819,,1,175,,,,,,,,
Emma and Me,,,Xlibris Corporation,2004,,820,English,,,,,,Antoinettee McElroy,,820,,1,,,,,,,,,
The Magic Sparrow ,,,Tiny Tot Pub,,,821,English,,,,,,Tiny tot,,821,,1,25,,,,,,,,
Scientists,,,Saddleback Edu.Inc,,,822,English,,,,,,Carlotta Hacker,,822,,1,,,,,,,,,
Leapfrogging thought Wetlands,,,Dog Eared Publications,1998,,823,English,,,,,,Margarat Anderson,,823,,1,$7.95 ,,,,,,,,
English Grammar for everyone,,,"Shree book centre, Mumbai",,,824,English,,,,,,Gratian Vas,,824,,1,250,,,,,,,,
Times Tables Games for Clever kids,,,Buster Book,,,825,English,,,,,,Gareth Moore,,825,,1,150,,,,,,,,
Taking Add to School ,,,Jayjo Books LLc,,,826,English,,,,,,Ellen Weiner,,826,,1,$17.93 ,,,,,,,,
Scooby Doo Witchs Ghost,,,Scholastic Printing New York,1999,,827,English,,,,,,Gail Herman,,827,,1,$3.50 ,,,,,,,,
Scooby Doo Aliens Too,,,Scholastic Printing New York,1999,,828,English,,,,,,Gail Herman,,828,,1,$3.50 ,,,,,,,,
She'll Be coming Round the Mountain,,,Scholastic Printing New York,2003,,829,English,,,,,,Chris Demarest,,829,,1,$3.50 ,,,,,,,,
The Little People and the Big Fib,,,Marvel Books`,,,830,English,,,,,,Suzanne Weyn,,830,,1,,,,,,,,,
Swiss Family Robinson,,,Growing & Going Books,,,831,English,,,,,,Johann David Wyss,,831,,1,,,,,,,,,
The Christmas Story Holly Babes,,,"Random House, New York",1986,,832,English,,,,,,Ruth J. Morehend,,832,,1,$3.25 ,,,,,,,,
The Witch's Vacation,,,Scholastic Printing New York,1987,,833,English,,,,,,Norman Bridwell,,833,,1,$3.25 ,,,,,,,,
The Story About Ping,,,Grosset & Dunlap New York,,,834,English,,,,,,Marjorie Flack,,834,,1,$3.49 ,,,,,,,,
The Wind in the Willows,,,Chick fil Inc. US,2011,,835,English,,,,,,Kenneth Grahame,,835,,1,,,,,,,,,
The Happy Little Dinosaur,,,Macmillan Publishing New York,1990,,836,English,,,,,,Judy Nayar,,836,,1,$1.50 ,,,,,,,,
I Need a Valentine,,,Little Siman New York,,,837,English,,,,,,Harriet Ziefert,,837,,1,,,,,,,,,
The Deadly Flowers,,,Grosset & Dunlap New York,1985,,838,English,,,,,,Robin Snyder,,838,,1,$1.95 ,,,,,,,,
Wonerful Wizard  of Oz,,,Chick fil Inc. US,,,839,English,,,,,,L. Frank Baum,,839,,1,$2.50 ,,,,,,,,
The story of the Pilgrims,,,"Random House ,New York",,,840,English,,,,,,Katharine Ross,,840,,1,$3.25 ,,,,,,,,
Winnie the Pooh,,,Walt Disney,,,841,English,,,,,,Disney,,841,,1,,,,,,,,,
Ask me Bear,,,Grosset & Dunlap New York,,,842,English,,,,,,Marjorie Flack,,842,,1,$3.49 ,,,,,,,,
Franklin Forgives,,,Scholastic Printing New York,2004,,843,English,,,,,,,,843,,1,,,,,,,,,
Kids Ask What?,,,Pil Publication Ltd.,2007,,844,English,,,,,,Linda Howard,,844,,1,,,,,,,,,
The Magic Show ,,,Summerville House Ltd,1999,,845,English,,,,,,Henry gordon,,845,,1,,,,,,,,,
The Magic  Dreidels,,,Trumpet Club Pub,,,846,English,,,,,,Eric A Kimmel,,846,,1,,,,,,,,,
Panchatantra 1,,,Navneet Publication ,,,847,English,,,,,,Yogesh Joshi,,847,,1,40,,,,,,,,
Pazzles and Mazes,,,Scholastic Printing New York,2011,,848,English,,,,,,Radha H.S,,848,,1,150,,,,,,,,
Big Joe's Trailer Truck,,,Random House,,,849,English,,,,,,Joe Mathieu,,849,,1,$4.25 ,,,,,,,,
Diesel's Devious Deed,,,Random House,,,850,English,,,,,,Rev W Awdry,,850,,1,,,,,,,,,
A better View for Gordon,,,Random House,,,851,English,,,,,,Thomas,,851,,1,,,,,,,,,
Bedtime Stories,,,Random House,,,852,English,,,,,,Richard Scarry,,852,,1,,,,,,,,,
Grundo Beach Party,,,World and wonders books,,,853,English,,,,,,Will Ryan ,,853,,1,$3.99 ,,,,,,,,
The day Teddy Met Grubby,,,Random House,,,854,English,,,,,,Ken Forsse,,854,,1,$3.99 ,,,,,,,,
Quiet Please,,,Random House,,,855,English,,,,,,Phill Baron,,855,,1,,,,,,,,,
Catch Me Catch Me,,,Random House,,,856,English,,,,,,Rev W Awdry,,856,,1,,,,,,,,,
Track Stars!,,,Random House,,,857,English,,,,,,Thomas,,857,,1,,,,,,,,,
Thomas Gets Tricked,,,Rabdom House,,,858,English,,,,,,Rev W Awdry,,858,,1,,,,,,,,,
Scooby Doo on Zombie Island,,,Scholastic Printing New York,,,859,English,,,,,,Gail Herman,,859,,1,$3.99 ,,,,,,,,
Scooby Doo Spooky Space kook!,,,Scholastic Printing New York,,,860,English,,,,,,Gail Herman,,860,,1,$3.99 ,,,,,,,,
Heathcliff goes to Hollywood,,,Marvel Books`,,,861,English,,,,,,Nancy Beiman,,861,,1,$1.95 ,,,,,,,,
Fievel to the Rescue,,,Grosset & Dunlap New York,,,862,English,,,,,,Flint Dille,,862,,1,$3.99 ,,,,,,,,
The true story of Corky the Blind seal,,,Scholastic Printing New York,,,863,English,,,,,,Georgeanne Irvine,,863,,1,,,,,,,,,
Thomas Snawsuit,,,"Annick press ltd, New york",,,864,English,,,,,,Robert Munsch,,864,,1,$4.95 ,,,,,,,,
Latkes and Applesauce ,,,Scholastic Printing New York,1990,,865,English,,,,,,Fran Manushkin,,865,,1,$4.95 ,,,,,,,,
Shoes for Sharon,,,"Shree book centre, Mumbai",,,866,English,,,,,,Shree Book,,866,,1,75,,,,,,,,
The Play Along Storybook,,,Hallmark Pub.,,,867,English,,,,,,Hallmark,,867,,1,,,,,,,,,
The week that led to Easter,,,Arch books US,,,868,English,,,,,,Joanne Larrison ,,868,,1,,,,,,,,,
Sing Along with T.J Bearytales,,,Playskool pub,,,869,English,,,,,,,,869,,1,,,,,,,,,
The Story of Mu-lan,,,Chick fil Inc. US,,,870,English,,,,,,Jean Fischer,,870,,1,,,,,,,,,
The story of Easter,,,Harper collins Pub,1997,,871,English,,,,,,Alleen Fisher,,871,,1,,,,,,,,,
Monsters story book,,,Walt Disney,,,872,English,,,,,,Disney,,872,,1,,,,,,,,,
Kazaam,,,Scholastic Printing New York,1996,,873,English,,,,,,Nancy E Krulik,,873,,1,$2.99 ,,,,,,,,
"Love & Kisses,Eloise",,,Little Siman New York,2005,,874,English,,,,,,Hilary Knight,,874,,1,$3.99 ,,,,,,,,
Corduroy,,,Scholastic Printing New York,1998,,875,English,,,,,,Don Freeman,,875,,1,$3.99 ,,,,,,,,
I need a Easter Egg,,,Little Siman New York,1999,,876,English,,,,,,Harriet Ziefert,,876,,1,$5.99 ,,,,,,,,
The Funny Funny Clown Face,,,Sunshine Book,1997,,877,English,,,,,,Margaret Mahy,,877,,1,,,,,,,,,
Baby Moses in a Basket,,,Standard Publishing,2005,,878,English,,,,,,Patricia Shely Mahany,,878,,1,,,,,,,,,
Classic Stories Black Beauty,,,Chick fil Inc. US,,,879,English,,,,,,Anna Sewell,,879,,1,,,,,,,,,
Joseph Forgives his Brothers,,,Arch books US,,,880,English,,,,,,Robert Baden,,880,,1,,,,,,,,,
The true story of Corky the Blind seal,,,Scholastic Printing New York,,,881,English,,,,,,Georgeanne Irvine,,881,,1,,,,,,,,,
Band A story about Sharing,,,Barney Publication,,,882,English,,,,,,Mark S Bernthal,,882,,1,50,,,,,,,,
The real Skin Rubber Monster Mask,,,Trumpet Club Pub,,,883,English,,,,,,Miriam Cohem,,883,,1,,,,,,,,,
The Tree Doctor,,,Sunshine Book,,,884,English,,,,,,Margaret Mahy,,884,,1,,,,,,,,,
HawaII Volcanoes,,,KC Publication US,,,885,English,,,,,,Glen Kaye,,885,,1,$2.50 ,,,,,,,,
20000 Leagues Under the Sea,,,SAP group Ltd,2012,,886,English,,,,,,Jules Verne,,886,,1,,,,,,,,,
Bhagat singh,,,Wilco Pub House,2000,,887,English,,,,,,Wilco Pub,,887,,1,40,,,,,,,,
Miss Spiders Tea Party,,,Scholastic Printing New York,,,888,English,,,,,,David Kirk,,888,,1,,,,,,,,,
The Bird  Alphabet Book,,,Charlesbridge Publishing,1987,,889,English,,,,,,Jerry Pallotta,,889,,1,,,,,,,,,
The Night Before Christmas,,,Random House,,,890,English,,,,,,Duglas Gorsline,,890,,1,$1.50 ,,,,,,,,
The Fox and the Hound,,,Walt Disney,,,891,English,,,,,,Disney,,891,,1,,,,,,,,,
Thomas Gets Tricked and other stories,,,Random House,,,892,English,,,,,,Rev W Awdry,,892,,1,$3.25 ,,,,,,,,
The Special Delivery,,,Random House,,,893,English,,,,,,Richard Courtney,,893,,1,$3.25 ,,,,,,,,
AnimalAlphabet,,,Sesame Street,,,894,English,,,,,,Elmo,,894,,1,,,,,,,,,
Flap Your Wings,,,Random House,,,895,English,,,,,,P.D Eastman,,895,,1,,,,,,,,,
Dinosaurs ,,,Random House,,,896,English,,,,,,Robert T Bakker,,896,,1,,,,,,,,,
The Elves & Shoemaker,,,Saraswati House  New Delhi,,,897,English,,,,,,Sarawati Book ,,897,,1,85,,,,,,,,
The Story of the Swiss Family ,,,Walt Disney,,,898,English,,,,,,Robin Snyder,,898,,1,,,,,,,,,
Stylin in the Sun,,,Penguin Group New York,,,899,English,,,,,,Grosset,,899,,1,$4.99 ,,,,,,,,
Flipper The story Book,,,Scholastic Printing New York,,,900,English,,,,,,Russell Martin,,900,,1,$4.99 ,,,,,,,,
The Disappearing Alpahabet,,,Scholastic Printing New York,,,901,English,,,,,,Richard Wilbur,,901,,1,$..50,,,,,,,,
The True or Flase Book of Horses,,,Scholastic Printing New York,,,902,English,,,,,,Patricia Lauber,,902,,1,59,,,,,,,,
Miss Nelson has a Field Day,,,Houghtton Mifflin Cpompany,,,903,English,,,,,,Happy Allard,,903,,1,$3.95 ,,,,,,,,
Paper airplanes to Make and Fly,,,Scholastic Printing New York,,,904,English,,,,,,Jim Razzi,,904,,1,$2.25 ,,,,,,,,
Scrapbook with Success,,,Memory Books,,,905,English,,,,,,Brenda Birrell,,905,,1,$2.50 ,,,,,,,,
Look Puzzle Learn The Great World Tour,,,Scholastic Printing New York,1999,,906,English,,,,,,Kamini Khanduri,,906,,1,,,,,,,,,
Big Red Barn,,,Scholastic Printing New York,,,907,English,,,,,,Margaret Wise Brown,,907,,1,,,,,,,,,
Big Red Barn,,,Scholastic Printing New York,,,908,English,,,,,,Margaret Wise Brown,,908,,1,,,,,,,,,
Emile,,,Dell Publication,1992,,909,English,,,,,,Jomi Ungerer,,909,,1,$3.99 ,,,,,,,,
The Gym Teacher from the Black Langoon,,,,,,910,English,,,,,,Mike Thaler,,910,,1,,,,,,,,,
Words that Sell ,,,Contempoary books inc,1984,,911,English,,,,,,Richard Bayan,,911,,1,$10.95 ,,,,,,,,
Arthur goes to camp,,,Little Brown And Company,,,912,English,,,,,,Marc Brown,,912,,1,$5.95 ,,,,,,,,
Arthur goes to camp,,,Little Brown And Company,,,913,English,,,,,,Marc Brown,,913,,1,$5.95 ,,,,,,,,
Arthur goes to camp,,,Little Brown And Company,,,914,English,,,,,,Marc Brown,,914,,1,$5.95 ,,,,,,,,
Arthur goes to camp,,,Little Brown And Company,,,915,English,,,,,,Marc Brown,,915,,1,$5.95 ,,,,,,,,
Beauty and the Beast,,,Random House,,,916,English,,,,,,Charles Perrault,,916,,1,$2.25 ,,,,,,,,
National Geographic Kids  Sharks!,,,Scholastic Printing New York,,,917,English,,,,,,Anne Schreiber,,917,,1,$3.99 ,,,,,,,,
The Solar System,,,Scholastic Printing New York,,,918,English,,,,,,Carmen Bredeson,,918,,1,50,,,,,,,,
The Human Body,,,Scholastic Printing New York,,,919,English,,,,,,Gallimard Jeunesse,,919,,1,50,,,,,,,,
Tanaji The Maratha Lion,,,Amar Chitra katha Pvt Ltd,1967,,920,English,,,,,,Anant Pai,,920,,1,35,,,,,,,,
Little Tiger's Big Surprise!,,,Little Tiger Press,,,921,English,,,,,,Julie Sykes,,921,,1,,,,,,,,,
Dinosaurs!,,,Puffins Books,1995,,922,English,,,,,,Laurence Pringle,,922,,1,$5.99 ,,,,,,,,
"Hurry , Santa",,,Scholastic Printing New York,1998,,923,English,,,,,,Julie Sykes,,923,,1,$3.99 ,,,,,,,,
What Cried Granny An almost Bedtime Story,,,Puffins Books,,,924,English,,,,,,Kate Lum,,924,,1,$6.99 ,,,,,,,,
Don't Eat the Teacher!,,,Scholastic Printing New York,1998,,925,English,,,,,,Nick Ward,,925,,1,,,,,,,,,
The Cafateria lady from the Black Lagoon,,,Scholastic Printing New York,1998,,926,English,,,,,,Mike Thaler,,926,,1,$3.50 ,,,,,,,,
May I Bring a Friend,,,Aladdin Paperbacks,1989,,927,English,,,,,,Beni Montresor,,927,,1,$5.99 ,,,,,,,,
